0.01,50,100,252306_at,248791_at,261181_at,264054_at,264934_at,253724_at,257943_at,257438_at,262726_at,244999_at,258322_at,258751_at,254202_at,267538_at,258980_at,258116_at,252408_at,251723_at,245204_at,244934_at,248268_at,255561_at,258490_at,255073_at,244966_at,245501_at,248830_at,253346_at,257942_at,245371_at,264500_at,260124_at,246228_at,261199_at,254906_at,267053_s_at,255438_at,258130_at,248849_at,260990_at,263988_at,253353_at,254336_at,248593_at,246437_at,250083_at,267198_at,248297_at,246889_at,248405_at,263963_at,248994_at,255014_at,254394_at,245892_at
0.01,50,250,252306_at,248791_at,261181_at,257943_at,264054_at,264934_at,253724_at,258751_at,262726_at,257438_at,244934_at,254202_at,258322_at,244999_at,252408_at,258490_at,267538_at,258116_at,258980_at,257942_at,248268_at,255073_at,253353_at,251723_at,253346_at,264500_at,245204_at,244966_at,245371_at,248830_at,255438_at,245501_at,261199_at,246437_at,254906_at,246228_at,255561_at,260124_at,260990_at,254336_at,258130_at,250083_at,248849_at,263988_at,255014_at,256645_at,267053_s_at,259844_at,245892_at,254506_at,248593_at,267198_at,257934_at,248994_at,246526_at
0.01,50,500,252306_at,248791_at,261181_at,264054_at,264934_at,253724_at,257943_at,262726_at,257438_at,258751_at,244999_at,254202_at,258322_at,244934_at,258116_at,257942_at,258490_at,252408_at,248268_at,267538_at,258980_at,245204_at,255073_at,253353_at,251723_at,264500_at,255561_at,244966_at,245371_at,253346_at,260124_at,255438_at,254906_at,248830_at,250083_at,261199_at,248297_at,248849_at,254336_at,260990_at,258130_at,246437_at,246526_at,263988_at,245501_at,248593_at,267198_at,254506_at,267053_s_at,245892_at,246889_at,263963_at,259844_at,255014_at,248405_at
0.01,50,1000,252306_at,248791_at,261181_at,264054_at,253724_at,264934_at,257943_at,262726_at,258751_at,257438_at,244934_at,254202_at,244999_at,258116_at,258322_at,258490_at,252408_at,267538_at,258980_at,257942_at,245204_at,255073_at,253353_at,251723_at,264500_at,248268_at,253346_at,245371_at,244966_at,260124_at,261199_at,255438_at,255561_at,267053_s_at,248830_at,250083_at,248849_at,254336_at,260990_at,258130_at,254906_at,263988_at,246228_at,248593_at,248297_at,245892_at,246437_at,246889_at,245501_at,267198_at,255014_at,248994_at,248405_at,259844_at,256645_at
0.01,50,1500,252306_at,248791_at,261181_at,264054_at,264934_at,253724_at,257943_at,262726_at,257438_at,258751_at,254202_at,258322_at,244999_at,244934_at,258116_at,267538_at,252408_at,258980_at,258490_at,257942_at,255073_at,248268_at,253346_at,245204_at,264500_at,251723_at,253353_at,255561_at,245371_at,255438_at,248830_at,244966_at,260124_at,250083_at,260990_at,248849_at,258130_at,254336_at,261199_at,267053_s_at,254906_at,263988_at,248297_at,246437_at,248593_at,245501_at,245892_at,267198_at,246889_at,263963_at,255014_at,248994_at,257934_at,246526_at,245467_at
0.01,50,2000,252306_at,248791_at,261181_at,264054_at,264934_at,253724_at,257943_at,262726_at,257438_at,258751_at,254202_at,244934_at,258322_at,244999_at,258116_at,267538_at,257942_at,258980_at,252408_at,258490_at,255073_at,245204_at,264500_at,253346_at,251723_at,248268_at,253353_at,245371_at,260124_at,255438_at,244966_at,261199_at,255561_at,248830_at,250083_at,254906_at,260990_at,254336_at,258130_at,263988_at,248297_at,267053_s_at,248593_at,245892_at,248849_at,246437_at,267198_at,246889_at,245501_at,255014_at,248405_at,248994_at,246228_at,256645_at,245467_at
0.01,100,100,252306_at,248791_at,264934_at,261181_at,264500_at,264054_at,257943_at,253724_at,262726_at,245371_at,258116_at,257438_at,260990_at,258130_at,254202_at,254336_at,258980_at,258490_at,263988_at,248593_at,267198_at,245892_at,255014_at,259844_at,248405_at,253346_at,255073_at,246889_at,254394_at,258322_at,256645_at,257934_at,253463_at,245467_at,253433_s_at,267218_at,257944_at,248297_at,251674_at,245624_at,257089_at,264610_at,248830_at,254906_at,248994_at,265091_s_at,247666_at,248849_at,249549_at,246466_at,250477_at,249241_at,251723_at,260124_at,245204_at
0.01,100,250,252306_at,248791_at,261181_at,264934_at,257943_at,264500_at,253724_at,264054_at,258116_at,262726_at,245371_at,257438_at,258490_at,254202_at,254336_at,260990_at,263988_at,258130_at,253346_at,258980_at,267198_at,255073_at,245892_at,246889_at,248593_at,259844_at,248405_at,255014_at,258751_at,254394_at,245467_at,253463_at,257934_at,267218_at,256645_at,251674_at,257944_at,247666_at,248830_at,245624_at,254906_at,250477_at,264610_at,248994_at,257942_at,253433_s_at,249241_at,248297_at,256223_at,248849_at,250083_at,258322_at,257089_at,265091_s_at,246466_at
0.01,100,500,252306_at,248791_at,261181_at,264934_at,253724_at,257943_at,262726_at,264500_at,264054_at,258116_at,245371_at,257438_at,254336_at,260990_at,258490_at,263988_at,254202_at,258130_at,267198_at,248593_at,255073_at,245892_at,258980_at,253346_at,248405_at,259844_at,255014_at,257934_at,246889_at,256645_at,254394_at,253463_at,267218_at,257944_at,245467_at,248830_at,245624_at,251674_at,248994_at,258322_at,247666_at,254906_at,253433_s_at,258751_at,249241_at,250477_at,265091_s_at,248297_at,257089_at,264610_at,256223_at,257942_at,250083_at,248849_at,246466_at
0.01,100,1000,252306_at,248791_at,261181_at,264934_at,253724_at,257943_at,262726_at,264500_at,258116_at,264054_at,245371_at,257438_at,260990_at,254336_at,258130_at,263988_at,254202_at,255073_at,253346_at,258490_at,267198_at,245892_at,248593_at,258980_at,259844_at,248405_at,255014_at,246889_at,254394_at,267218_at,257934_at,256645_at,245467_at,257944_at,253463_at,254906_at,245624_at,248994_at,258322_at,249241_at,248830_at,251674_at,253433_s_at,258751_at,247666_at,264610_at,265091_s_at,250477_at,248849_at,248297_at,257089_at,250083_at,256223_at,245204_at,246466_at
0.01,100,1500,252306_at,248791_at,261181_at,264934_at,257943_at,262726_at,253724_at,264500_at,258116_at,264054_at,245371_at,257438_at,260990_at,258490_at,258130_at,254336_at,263988_at,255073_at,254202_at,267198_at,253346_at,245892_at,248593_at,258980_at,259844_at,246889_at,248405_at,255014_at,254394_at,256645_at,267218_at,257934_at,245467_at,257944_at,245624_at,253463_at,248994_at,254906_at,247666_at,248830_at,258751_at,251674_at,249241_at,258322_at,253433_s_at,248297_at,256223_at,257089_at,250477_at,264610_at,250083_at,265091_s_at,245204_at,248849_at,257942_at
