"alpha"	"tile size"	"iterations"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55
"0.01"	100	100	"265441_at"	"259089_at"	"261375_at"	"248496_at"	"254227_at"	"255644_at"	"256259_at"	"263092_at"	"249939_at"	"255906_at"	"249005_at"	"245842_at"	"257051_at"	"251979_at"	"265531_at"	"264137_at"	"253108_at"	"264907_at"	"264170_at"	"247217_s_at"	"264180_at"	"252063_at"	"264830_at"	"257130_at"	"267528_at"	"260355_at"	"248111_at"	"256481_at"	"251229_at"	"246380_at"	"263546_at"	"255448_at"	"251560_at"	"256418_at"	"260806_at"	"251782_at"	"264489_at"	"251555_at"	"258299_at"	"257579_at"	"262534_at"	"262449_at"	"264039_at"	"254100_at"	"245571_at"	"257823_at"	"249012_at"	"262680_at"	"254574_at"	"258962_at"	"245521_at"	"251232_at"	"247966_at"	"260788_at"	"258042_at"
"0.01"	100	250	"265441_at"	"259089_at"	"261375_at"	"248496_at"	"254227_at"	"255644_at"	"256259_at"	"263092_at"	"249939_at"	"249005_at"	"245842_at"	"255906_at"	"257051_at"	"265531_at"	"264830_at"	"251979_at"	"253108_at"	"264907_at"	"264137_at"	"260806_at"	"252063_at"	"264180_at"	"256481_at"	"257130_at"	"260355_at"	"251560_at"	"251229_at"	"267528_at"	"264170_at"	"247217_s_at"	"255448_at"	"257823_at"	"263546_at"	"251782_at"	"249012_at"	"246380_at"	"258299_at"	"248111_at"	"264039_at"	"264489_at"	"256418_at"	"251555_at"	"247966_at"	"245571_at"	"254100_at"	"262680_at"	"258042_at"	"262534_at"	"262449_at"	"254574_at"	"257129_at"	"257579_at"	"258962_at"	"256219_at"	"267304_at"
"0.01"	100	500	"265441_at"	"259089_at"	"261375_at"	"248496_at"	"254227_at"	"255644_at"	"256259_at"	"249005_at"	"249939_at"	"263092_at"	"245842_at"	"255906_at"	"265531_at"	"257051_at"	"251979_at"	"264907_at"	"260806_at"	"264137_at"	"264830_at"	"253108_at"	"260355_at"	"251229_at"	"264180_at"	"256481_at"	"264170_at"	"257130_at"	"252063_at"	"267528_at"	"251560_at"	"247217_s_at"	"255448_at"	"263546_at"	"258299_at"	"254100_at"	"248111_at"	"257823_at"	"256418_at"	"245571_at"	"264489_at"	"246380_at"	"249012_at"	"251555_at"	"262449_at"	"264039_at"	"247966_at"	"251782_at"	"264539_at"	"258042_at"	"262680_at"	"257579_at"	"262534_at"	"266530_at"	"259802_at"	"258321_at"	"258962_at"
"0.01"	100	1000	"265441_at"	"259089_at"	"248496_at"	"261375_at"	"254227_at"	"255644_at"	"256259_at"	"263092_at"	"249005_at"	"249939_at"	"245842_at"	"255906_at"	"257051_at"	"265531_at"	"251979_at"	"264907_at"	"252063_at"	"264137_at"	"260806_at"	"260355_at"	"264830_at"	"253108_at"	"256481_at"	"264180_at"	"251229_at"	"257130_at"	"251560_at"	"267528_at"	"264170_at"	"247217_s_at"	"256418_at"	"255448_at"	"258299_at"	"263546_at"	"248111_at"	"251782_at"	"245571_at"	"257823_at"	"264039_at"	"246380_at"	"264489_at"	"249012_at"	"247966_at"	"254100_at"	"251555_at"	"262449_at"	"254574_at"	"262680_at"	"246962_s_at"	"262534_at"	"258042_at"	"259802_at"	"257579_at"	"267304_at"	"258962_at"
"0.01"	100	1500	"265441_at"	"259089_at"	"261375_at"	"248496_at"	"254227_at"	"255644_at"	"256259_at"	"249005_at"	"249939_at"	"263092_at"	"245842_at"	"255906_at"	"257051_at"	"265531_at"	"251979_at"	"264907_at"	"264830_at"	"264137_at"	"260806_at"	"260355_at"	"264180_at"	"253108_at"	"256481_at"	"252063_at"	"251229_at"	"257130_at"	"264170_at"	"251560_at"	"267528_at"	"247217_s_at"	"255448_at"	"263546_at"	"256418_at"	"248111_at"	"258299_at"	"247966_at"	"257823_at"	"249012_at"	"246380_at"	"245571_at"	"264489_at"	"254100_at"	"251782_at"	"264039_at"	"262449_at"	"262534_at"	"251555_at"	"259802_at"	"262680_at"	"257579_at"	"254574_at"	"258042_at"	"264539_at"	"246962_s_at"	"266530_at"
"0.01"	100	2000	"265441_at"	"259089_at"	"248496_at"	"261375_at"	"254227_at"	"255644_at"	"256259_at"	"263092_at"	"249939_at"	"249005_at"	"245842_at"	"255906_at"	"257051_at"	"265531_at"	"251979_at"	"264907_at"	"264830_at"	"253108_at"	"252063_at"	"264137_at"	"260355_at"	"260806_at"	"256481_at"	"264180_at"	"257130_at"	"251229_at"	"267528_at"	"264170_at"	"247217_s_at"	"251560_at"	"255448_at"	"248111_at"	"257823_at"	"263546_at"	"256418_at"	"258299_at"	"251782_at"	"249012_at"	"264489_at"	"247966_at"	"246380_at"	"254100_at"	"264039_at"	"245571_at"	"262449_at"	"254574_at"	"251555_at"	"262534_at"	"257579_at"	"262680_at"	"258042_at"	"246962_s_at"	"267304_at"	"259802_at"	"264539_at"
"0.01"	250	20	"259089_at"	"265441_at"	"248496_at"	"261375_at"	"255644_at"	"255906_at"	"249939_at"	"267528_at"	"249005_at"	"264907_at"	"256259_at"	"257051_at"	"245842_at"	"251979_at"	"263092_at"	"254227_at"	"255448_at"	"260355_at"	"253108_at"	"245571_at"	"262680_at"	"264180_at"	"255609_s_at"	"248227_at"	"254574_at"	"251560_at"	"259802_at"	"251555_at"	"257130_at"	"249614_at"	"247447_at"	"263546_at"	"258506_at"	"257402_at"	"257823_at"	"258299_at"	"264039_at"	"264752_at"	"266596_at"	"262697_at"	"250636_at"	"261575_at"	"253987_at"	"251229_at"	"261514_at"	"254494_at"	"247469_at"	"267460_at"	"256597_at"	"267304_at"	"265531_at"	"260806_at"	"254175_at"	"249761_at"	"264137_at"
"0.01"	250	50	"259089_at"	"265441_at"	"248496_at"	"261375_at"	"255644_at"	"256259_at"	"263092_at"	"249939_at"	"245842_at"	"249005_at"	"253108_at"	"264907_at"	"251979_at"	"257051_at"	"254227_at"	"255906_at"	"260355_at"	"267528_at"	"255448_at"	"262680_at"	"264180_at"	"257130_at"	"255609_s_at"	"248227_at"	"264489_at"	"249614_at"	"248111_at"	"264752_at"	"246380_at"	"257089_at"	"264137_at"	"247469_at"	"254574_at"	"259802_at"	"264444_at"	"251229_at"	"260806_at"	"257823_at"	"247447_at"	"245571_at"	"251232_at"	"261575_at"	"250636_at"	"252063_at"	"262697_at"	"250491_at"	"252495_at"	"266652_at"	"256481_at"	"257129_at"	"261514_at"	"251560_at"	"251555_at"	"264830_at"	"254175_at"
"0.01"	250	100	"259089_at"	"265441_at"	"261375_at"	"248496_at"	"255644_at"	"245842_at"	"263092_at"	"256259_at"	"249939_at"	"249005_at"	"267528_at"	"255448_at"	"264907_at"	"251979_at"	"254227_at"	"257051_at"	"253108_at"	"264180_at"	"260355_at"	"251229_at"	"255906_at"	"259802_at"	"262680_at"	"255609_s_at"	"264489_at"	"249614_at"	"248227_at"	"260806_at"	"245571_at"	"254574_at"	"263546_at"	"246380_at"	"264752_at"	"250636_at"	"264444_at"	"247469_at"	"264830_at"	"248111_at"	"261514_at"	"257130_at"	"264137_at"	"261575_at"	"267460_at"	"257089_at"	"266652_at"	"257129_at"	"247447_at"	"262697_at"	"250491_at"	"262987_at"	"263306_at"	"254494_at"	"257504_at"	"251232_at"	"257402_at"
"0.01"	250	250	"259089_at"	"265441_at"	"261375_at"	"248496_at"	"255644_at"	"256259_at"	"263092_at"	"245842_at"	"249005_at"	"249939_at"	"257051_at"	"255448_at"	"251979_at"	"254227_at"	"264907_at"	"255906_at"	"267528_at"	"264180_at"	"253108_at"	"260355_at"	"255609_s_at"	"248227_at"	"249614_at"	"245571_at"	"262680_at"	"246380_at"	"259802_at"	"264137_at"	"264489_at"	"248111_at"	"251229_at"	"250636_at"	"257130_at"	"264444_at"	"247469_at"	"247447_at"	"251560_at"	"263546_at"	"267460_at"	"264752_at"	"264830_at"	"261514_at"	"266652_at"	"260806_at"	"257129_at"	"254574_at"	"261575_at"	"257402_at"	"264016_at"	"257089_at"	"257823_at"	"250491_at"	"254175_at"	"258506_at"	"262697_at"
