"alpha"	"tile size"	"iterations"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55
"0.01"	500	1500	"259089_at"	"248496_at"	"265441_at"	"255644_at"	"261375_at"	"249939_at"	"245842_at"	"263092_at"	"256259_at"	"267528_at"	"255448_at"	"249005_at"	"260355_at"	"264907_at"	"255609_s_at"	"249614_at"	"257051_at"	"248227_at"	"262680_at"	"251979_at"	"253108_at"	"259802_at"	"247469_at"	"264180_at"	"264489_at"	"264444_at"	"264752_at"	"245571_at"	"246380_at"	"250636_at"	"247447_at"	"261514_at"	"248111_at"	"255906_at"	"267460_at"	"263546_at"	"257129_at"	"261575_at"	"254574_at"	"250491_at"	"257130_at"	"254494_at"	"257402_at"	"254175_at"	"257504_at"	"256597_at"	"257089_at"	"254227_at"	"264016_at"	"258506_at"	"266652_at"	"257034_at"	"262697_at"	"248368_at"	"251232_at"
"0.01"	500	2000	"259089_at"	"248496_at"	"265441_at"	"255644_at"	"261375_at"	"249939_at"	"245842_at"	"256259_at"	"263092_at"	"267528_at"	"255448_at"	"249005_at"	"257051_at"	"255609_s_at"	"249614_at"	"260355_at"	"264907_at"	"262680_at"	"248227_at"	"251979_at"	"253108_at"	"259802_at"	"247469_at"	"264489_at"	"264180_at"	"264444_at"	"264752_at"	"246380_at"	"250636_at"	"247447_at"	"245571_at"	"261514_at"	"263546_at"	"267460_at"	"248111_at"	"261575_at"	"255906_at"	"257129_at"	"254574_at"	"257130_at"	"250491_at"	"257402_at"	"264016_at"	"254227_at"	"254175_at"	"257089_at"	"258506_at"	"256597_at"	"257034_at"	"254494_at"	"266652_at"	"257504_at"	"264137_at"	"251232_at"	"248368_at"
"0.01"	750	20	"259089_at"	"248496_at"	"261375_at"	"255644_at"	"265441_at"	"267528_at"	"256259_at"	"249939_at"	"245842_at"	"255609_s_at"	"248227_at"	"260355_at"	"249005_at"	"264907_at"	"259802_at"	"255448_at"	"249614_at"	"257051_at"	"263092_at"	"262680_at"	"253108_at"	"246380_at"	"264489_at"	"264752_at"	"247469_at"	"245571_at"	"250636_at"	"263546_at"	"247447_at"	"254574_at"	"251979_at"	"248111_at"	"264444_at"	"257129_at"	"257504_at"	"250491_at"	"266652_at"	"267460_at"	"264180_at"	"256597_at"	"258506_at"	"251232_at"	"254175_at"	"261514_at"	"262697_at"	"252495_at"	"265261_at"	"257034_at"	"264016_at"	"266596_at"	"264137_at"	"257089_at"	"247956_at"	"261575_at"	"258932_at"
"0.01"	750	50	"259089_at"	"248496_at"	"255644_at"	"265441_at"	"261375_at"	"245842_at"	"255448_at"	"249939_at"	"267528_at"	"255609_s_at"	"263092_at"	"249614_at"	"248227_at"	"262680_at"	"260355_at"	"264907_at"	"249005_at"	"256259_at"	"247469_at"	"257051_at"	"259802_at"	"264444_at"	"247447_at"	"264489_at"	"264752_at"	"251979_at"	"257129_at"	"253108_at"	"264180_at"	"246380_at"	"250636_at"	"267460_at"	"256597_at"	"254574_at"	"245571_at"	"248111_at"	"263546_at"	"250491_at"	"261575_at"	"261514_at"	"264016_at"	"254234_at"	"255906_at"	"246250_at"	"257402_at"	"254494_at"	"247956_at"	"257579_at"	"254175_at"	"258506_at"	"257034_at"	"265261_at"	"266652_at"	"263738_at"	"251232_at"
"0.01"	750	100	"259089_at"	"248496_at"	"255644_at"	"265441_at"	"261375_at"	"255448_at"	"249939_at"	"245842_at"	"267528_at"	"263092_at"	"255609_s_at"	"249614_at"	"248227_at"	"256259_at"	"260355_at"	"262680_at"	"257051_at"	"251979_at"	"264907_at"	"253108_at"	"249005_at"	"247469_at"	"259802_at"	"264444_at"	"264489_at"	"247447_at"	"250636_at"	"264752_at"	"267460_at"	"264180_at"	"246380_at"	"245571_at"	"261514_at"	"257504_at"	"263546_at"	"264016_at"	"248111_at"	"257129_at"	"254175_at"	"254574_at"	"261575_at"	"258506_at"	"256597_at"	"257034_at"	"246250_at"	"266652_at"	"256418_at"	"250491_at"	"257089_at"	"254494_at"	"257402_at"	"253309_at"	"257579_at"	"263738_at"	"247869_at"
"0.01"	750	250	"259089_at"	"248496_at"	"265441_at"	"261375_at"	"255644_at"	"249939_at"	"245842_at"	"267528_at"	"255448_at"	"255609_s_at"	"262680_at"	"264907_at"	"263092_at"	"260355_at"	"249614_at"	"256259_at"	"248227_at"	"249005_at"	"257051_at"	"251979_at"	"259802_at"	"264489_at"	"247469_at"	"264752_at"	"247447_at"	"253108_at"	"250636_at"	"264444_at"	"246380_at"	"261575_at"	"264180_at"	"245571_at"	"263546_at"	"248111_at"	"250491_at"	"267460_at"	"261514_at"	"257129_at"	"254175_at"	"257504_at"	"258506_at"	"256597_at"	"254234_at"	"254574_at"	"265261_at"	"257402_at"	"257034_at"	"262697_at"	"248368_at"	"255906_at"	"264016_at"	"254494_at"	"257089_at"	"246250_at"	"251232_at"
"0.01"	750	500	"259089_at"	"248496_at"	"255644_at"	"261375_at"	"265441_at"	"249939_at"	"267528_at"	"255448_at"	"245842_at"	"256259_at"	"255609_s_at"	"263092_at"	"262680_at"	"248227_at"	"249614_at"	"260355_at"	"264907_at"	"257051_at"	"249005_at"	"251979_at"	"264752_at"	"259802_at"	"247469_at"	"253108_at"	"264489_at"	"264444_at"	"247447_at"	"264180_at"	"250636_at"	"245571_at"	"246380_at"	"261575_at"	"267460_at"	"261514_at"	"254175_at"	"257129_at"	"254574_at"	"248111_at"	"263546_at"	"250491_at"	"256597_at"	"257034_at"	"257504_at"	"257402_at"	"264016_at"	"258506_at"	"254494_at"	"254234_at"	"255906_at"	"248368_at"	"257130_at"	"263738_at"	"252495_at"	"265261_at"	"257579_at"
"0.01"	750	1000	"259089_at"	"248496_at"	"265441_at"	"255644_at"	"261375_at"	"249939_at"	"267528_at"	"245842_at"	"255448_at"	"256259_at"	"255609_s_at"	"249614_at"	"248227_at"	"260355_at"	"262680_at"	"263092_at"	"264907_at"	"257051_at"	"249005_at"	"247469_at"	"251979_at"	"259802_at"	"264489_at"	"264752_at"	"253108_at"	"247447_at"	"264444_at"	"264180_at"	"250636_at"	"245571_at"	"246380_at"	"261575_at"	"267460_at"	"261514_at"	"263546_at"	"254574_at"	"254175_at"	"256597_at"	"248111_at"	"258506_at"	"257034_at"	"250491_at"	"257129_at"	"264016_at"	"257504_at"	"257402_at"	"257130_at"	"255906_at"	"265261_at"	"254234_at"	"254494_at"	"257089_at"	"248368_at"	"247956_at"	"263738_at"
"0.01"	750	1500	"259089_at"	"248496_at"	"255644_at"	"265441_at"	"261375_at"	"249939_at"	"267528_at"	"255448_at"	"245842_at"	"255609_s_at"	"249614_at"	"248227_at"	"260355_at"	"262680_at"	"256259_at"	"263092_at"	"264907_at"	"257051_at"	"249005_at"	"251979_at"	"259802_at"	"264444_at"	"247469_at"	"264752_at"	"247447_at"	"264489_at"	"253108_at"	"264180_at"	"245571_at"	"250636_at"	"246380_at"	"261514_at"	"261575_at"	"267460_at"	"257129_at"	"263546_at"	"254574_at"	"254175_at"	"248111_at"	"250491_at"	"256597_at"	"257034_at"	"258506_at"	"264016_at"	"257504_at"	"255906_at"	"254234_at"	"248368_at"	"265261_at"	"257402_at"	"254494_at"	"257089_at"	"247956_at"	"257130_at"	"257579_at"
"0.01"	750	2000	"259089_at"	"248496_at"	"255644_at"	"265441_at"	"261375_at"	"249939_at"	"255448_at"	"245842_at"	"267528_at"	"255609_s_at"	"249614_at"	"256259_at"	"260355_at"	"263092_at"	"262680_at"	"248227_at"	"257051_at"	"264907_at"	"249005_at"	"251979_at"	"247469_at"	"259802_at"	"264489_at"	"264752_at"	"253108_at"	"264444_at"	"247447_at"	"250636_at"	"264180_at"	"246380_at"	"245571_at"	"267460_at"	"261514_at"	"261575_at"	"263546_at"	"257129_at"	"254574_at"	"256597_at"	"254175_at"	"248111_at"	"250491_at"	"257034_at"	"264016_at"	"257504_at"	"258506_at"	"248368_at"	"254494_at"	"257402_at"	"255906_at"	"254234_at"	"265261_at"	"257089_at"	"246250_at"	"266652_at"	"263738_at"
"0.01"	1000	20	"259089_at"	"248496_at"	"255644_at"	"261375_at"	"265441_at"	"249939_at"	"255609_s_at"	"267528_at"	"255448_at"	"245842_at"	"260355_at"	"249614_at"	"248227_at"	"262680_at"	"264907_at"	"257051_at"	"263092_at"	"256259_at"	"259802_at"	"247447_at"	"264444_at"	"264752_at"	"264489_at"	"246380_at"	"250491_at"	"264180_at"	"247469_at"	"261575_at"	"250636_at"	"264137_at"	"249005_at"	"263738_at"	"251979_at"	"245571_at"	"253108_at"	"267460_at"	"257504_at"	"256597_at"	"254175_at"	"248368_at"	"258506_at"	"253309_at"	"246250_at"	"265261_at"	"263306_at"	"264016_at"	"266738_at"	"257034_at"	"261514_at"	"254234_at"	"248111_at"	"255906_at"	"256116_at"	"254574_at"	"262697_at"
"0.01"	1000	50	"259089_at"	"248496_at"	"265441_at"	"255644_at"	"261375_at"	"249939_at"	"248227_at"	"255448_at"	"267528_at"	"255609_s_at"	"262680_at"	"256259_at"	"264907_at"	"245842_at"	"260355_at"	"249614_at"	"247469_at"	"264489_at"	"257051_at"	"249005_at"	"247447_at"	"264752_at"	"263092_at"	"253108_at"	"245571_at"	"264444_at"	"250636_at"	"264180_at"	"254574_at"	"251979_at"	"259802_at"	"250491_at"	"248111_at"	"261514_at"	"246380_at"	"257034_at"	"258506_at"	"254175_at"	"254234_at"	"263546_at"	"257129_at"	"264016_at"	"267460_at"	"261575_at"	"257504_at"	"254494_at"	"256116_at"	"252495_at"	"251232_at"	"257579_at"	"246250_at"	"256597_at"	"247956_at"	"260097_at"	"256780_at"
"0.01"	1000	100	"259089_at"	"248496_at"	"255644_at"	"265441_at"	"261375_at"	"255448_at"	"267528_at"	"249939_at"	"255609_s_at"	"245842_at"	"264907_at"	"260355_at"	"249614_at"	"248227_at"	"262680_at"	"256259_at"	"263092_at"	"259802_at"	"251979_at"	"247469_at"	"257051_at"	"264752_at"	"264489_at"	"249005_at"	"247447_at"	"264444_at"	"253108_at"	"245571_at"	"264180_at"	"250636_at"	"256597_at"	"261575_at"	"246380_at"	"254574_at"	"261514_at"	"250491_at"	"257129_at"	"257034_at"	"267460_at"	"254175_at"	"254234_at"	"257504_at"	"258506_at"	"248368_at"	"253309_at"	"265261_at"	"263546_at"	"256780_at"	"263738_at"	"264016_at"	"248111_at"	"257402_at"	"251560_at"	"267144_at"	"245819_at"
"0.01"	1000	250	"259089_at"	"248496_at"	"255644_at"	"261375_at"	"265441_at"	"267528_at"	"249939_at"	"255609_s_at"	"245842_at"	"255448_at"	"262680_at"	"260355_at"	"248227_at"	"249614_at"	"256259_at"	"264907_at"	"263092_at"	"257051_at"	"247469_at"	"264489_at"	"251979_at"	"264444_at"	"253108_at"	"259802_at"	"247447_at"	"249005_at"	"264752_at"	"264180_at"	"261575_at"	"250636_at"	"245571_at"	"267460_at"	"254175_at"	"261514_at"	"264016_at"	"256597_at"	"246380_at"	"250491_at"	"263546_at"	"257129_at"	"254234_at"	"254574_at"	"265261_at"	"257034_at"	"257504_at"	"257579_at"	"258506_at"	"248111_at"	"256780_at"	"247956_at"	"248368_at"	"257089_at"	"256116_at"	"255906_at"	"253309_at"
"0.01"	1000	500	"259089_at"	"248496_at"	"255644_at"	"265441_at"	"261375_at"	"249939_at"	"267528_at"	"255448_at"	"249614_at"	"255609_s_at"	"248227_at"	"245842_at"	"260355_at"	"262680_at"	"256259_at"	"257051_at"	"264907_at"	"263092_at"	"247469_at"	"264489_at"	"249005_at"	"264752_at"	"259802_at"	"264444_at"	"247447_at"	"253108_at"	"251979_at"	"264180_at"	"250636_at"	"267460_at"	"245571_at"	"263546_at"	"246380_at"	"261575_at"	"261514_at"	"254175_at"	"248111_at"	"256597_at"	"257129_at"	"254574_at"	"257034_at"	"250491_at"	"257504_at"	"265261_at"	"258506_at"	"248368_at"	"254234_at"	"257402_at"	"256780_at"	"264016_at"	"247956_at"	"263738_at"	"257579_at"	"264137_at"	"253309_at"
"0.01"	1000	1000	"259089_at"	"248496_at"	"255644_at"	"265441_at"	"261375_at"	"249939_at"	"267528_at"	"255609_s_at"	"255448_at"	"245842_at"	"249614_at"	"248227_at"	"262680_at"	"260355_at"	"264907_at"	"256259_at"	"257051_at"	"263092_at"	"247469_at"	"259802_at"	"251979_at"	"264489_at"	"264752_at"	"249005_at"	"264444_at"	"247447_at"	"253108_at"	"264180_at"	"250636_at"	"246380_at"	"261575_at"	"245571_at"	"267460_at"	"261514_at"	"254175_at"	"263546_at"	"257034_at"	"250491_at"	"256597_at"	"248111_at"	"257129_at"	"254574_at"	"258506_at"	"254234_at"	"257504_at"	"265261_at"	"264016_at"	"263738_at"	"248368_at"	"247956_at"	"253309_at"	"247869_at"	"256116_at"	"257579_at"	"257402_at"
"0.01"	1000	1500	"259089_at"	"248496_at"	"255644_at"	"265441_at"	"261375_at"	"267528_at"	"249939_at"	"255448_at"	"255609_s_at"	"245842_at"	"249614_at"	"262680_at"	"248227_at"	"260355_at"	"256259_at"	"264907_at"	"257051_at"	"263092_at"	"259802_at"	"247469_at"	"264752_at"	"264489_at"	"264444_at"	"249005_at"	"251979_at"	"253108_at"	"247447_at"	"264180_at"	"245571_at"	"261575_at"	"246380_at"	"250636_at"	"267460_at"	"254574_at"	"263546_at"	"261514_at"	"257129_at"	"254175_at"	"256597_at"	"257034_at"	"250491_at"	"258506_at"	"264016_at"	"257504_at"	"248111_at"	"254234_at"	"265261_at"	"248368_at"	"257579_at"	"263738_at"	"247956_at"	"246250_at"	"247869_at"	"245819_at"	"256116_at"
"0.01"	1000	2000	"259089_at"	"248496_at"	"255644_at"	"265441_at"	"261375_at"	"267528_at"	"249939_at"	"255448_at"	"255609_s_at"	"245842_at"	"249614_at"	"262680_at"	"248227_at"	"260355_at"	"256259_at"	"264907_at"	"257051_at"	"263092_at"	"247469_at"	"259802_at"	"251979_at"	"264489_at"	"264444_at"	"264752_at"	"247447_at"	"253108_at"	"249005_at"	"264180_at"	"250636_at"	"261575_at"	"267460_at"	"245571_at"	"246380_at"	"261514_at"	"254175_at"	"263546_at"	"256597_at"	"257034_at"	"257129_at"	"250491_at"	"254574_at"	"248111_at"	"258506_at"	"257504_at"	"254234_at"	"265261_at"	"264016_at"	"248368_at"	"257579_at"	"247869_at"	"245819_at"	"247956_at"	"256780_at"	"253309_at"	"263738_at"
"0.01"	1250	20	"259089_at"	"248496_at"	"261375_at"	"255644_at"	"265441_at"	"267528_at"	"255609_s_at"	"262680_at"	"249939_at"	"248227_at"	"249614_at"	"255448_at"	"264907_at"	"260355_at"	"257051_at"	"245842_at"	"249005_at"	"264489_at"	"251979_at"	"247469_at"	"264444_at"	"256259_at"	"246380_at"	"259802_at"	"264180_at"	"253108_at"	"261575_at"	"247447_at"	"257129_at"	"245571_at"	"254574_at"	"250636_at"	"264752_at"	"263092_at"	"254175_at"	"267460_at"	"264016_at"	"254234_at"	"257504_at"	"256780_at"	"250491_at"	"263546_at"	"246250_at"	"257402_at"	"251986_at"	"266319_s_at"	"258506_at"	"261514_at"	"245819_at"	"253309_at"	"257579_at"	"254494_at"	"257089_at"	"265261_at"	"267144_at"
"0.01"	1250	50	"259089_at"	"248496_at"	"255644_at"	"265441_at"	"261375_at"	"267528_at"	"245842_at"	"255609_s_at"	"249939_at"	"248227_at"	"255448_at"	"249614_at"	"262680_at"	"260355_at"	"256259_at"	"247469_at"	"264907_at"	"264489_at"	"263092_at"	"257051_at"	"264444_at"	"259802_at"	"247447_at"	"250636_at"	"253108_at"	"264752_at"	"249005_at"	"261575_at"	"254574_at"	"265261_at"	"264180_at"	"251979_at"	"267460_at"	"263546_at"	"246380_at"	"253309_at"	"245571_at"	"257504_at"	"257034_at"	"261514_at"	"245819_at"	"246250_at"	"254175_at"	"258506_at"	"254234_at"	"256116_at"	"263738_at"	"247869_at"	"248111_at"	"256597_at"	"257129_at"	"257579_at"	"267144_at"	"252495_at"	"247956_at"
"0.01"	1250	100	"259089_at"	"248496_at"	"265441_at"	"255644_at"	"261375_at"	"267528_at"	"255448_at"	"255609_s_at"	"249939_at"	"245842_at"	"260355_at"	"262680_at"	"248227_at"	"249614_at"	"264907_at"	"257051_at"	"256259_at"	"247469_at"	"259802_at"	"264752_at"	"264489_at"	"263092_at"	"247447_at"	"264444_at"	"261575_at"	"251979_at"	"249005_at"	"253108_at"	"267460_at"	"250636_at"	"264180_at"	"254574_at"	"246380_at"	"263546_at"	"261514_at"	"265261_at"	"245571_at"	"254175_at"	"257034_at"	"263738_at"	"248111_at"	"257504_at"	"250491_at"	"254234_at"	"257129_at"	"256597_at"	"256780_at"	"257579_at"	"258506_at"	"245819_at"	"264016_at"	"246250_at"	"248368_at"	"247869_at"	"247956_at"
"0.01"	1250	250	"259089_at"	"248496_at"	"255644_at"	"265441_at"	"261375_at"	"255609_s_at"	"267528_at"	"255448_at"	"249614_at"	"249939_at"	"262680_at"	"245842_at"	"248227_at"	"260355_at"	"264907_at"	"256259_at"	"257051_at"	"264752_at"	"247469_at"	"253108_at"	"259802_at"	"263092_at"	"264489_at"	"247447_at"	"264444_at"	"251979_at"	"249005_at"	"261575_at"	"250636_at"	"267460_at"	"245571_at"	"254175_at"	"246380_at"	"261514_at"	"264180_at"	"254574_at"	"257504_at"	"257034_at"	"256597_at"	"254234_at"	"263546_at"	"258506_at"	"264016_at"	"250491_at"	"257129_at"	"248368_at"	"253309_at"	"265261_at"	"256780_at"	"263738_at"	"248111_at"	"247869_at"	"247956_at"	"245819_at"	"246250_at"
"0.01"	1250	500	"259089_at"	"248496_at"	"255644_at"	"265441_at"	"261375_at"	"249939_at"	"267528_at"	"255609_s_at"	"255448_at"	"248227_at"	"262680_at"	"249614_at"	"260355_at"	"245842_at"	"264907_at"	"257051_at"	"256259_at"	"247469_at"	"264752_at"	"264489_at"	"264444_at"	"251979_at"	"253108_at"	"247447_at"	"263092_at"	"259802_at"	"249005_at"	"256597_at"	"267460_at"	"264180_at"	"245571_at"	"257034_at"	"261575_at"	"261514_at"	"254175_at"	"250636_at"	"263546_at"	"254574_at"	"257129_at"	"246380_at"	"253309_at"	"254234_at"	"250491_at"	"265261_at"	"258506_at"	"248111_at"	"264016_at"	"257504_at"	"245819_at"	"247869_at"	"247956_at"	"248368_at"	"257579_at"	"256780_at"	"246250_at"
"0.01"	1250	1000	"259089_at"	"248496_at"	"255644_at"	"265441_at"	"261375_at"	"267528_at"	"249939_at"	"255609_s_at"	"255448_at"	"249614_at"	"262680_at"	"248227_at"	"260355_at"	"245842_at"	"264907_at"	"256259_at"	"257051_at"	"253108_at"	"247469_at"	"264489_at"	"259802_at"	"264752_at"	"264444_at"	"263092_at"	"251979_at"	"247447_at"	"249005_at"	"267460_at"	"264180_at"	"261575_at"	"254175_at"	"246380_at"	"250636_at"	"257034_at"	"256597_at"	"245571_at"	"263546_at"	"261514_at"	"257129_at"	"254574_at"	"258506_at"	"265261_at"	"250491_at"	"257504_at"	"248111_at"	"254234_at"	"253309_at"	"264016_at"	"257579_at"	"247869_at"	"256780_at"	"245819_at"	"247956_at"	"263738_at"	"248368_at"
"0.01"	1250	1500	"259089_at"	"248496_at"	"255644_at"	"265441_at"	"261375_at"	"267528_at"	"255609_s_at"	"249939_at"	"255448_at"	"248227_at"	"262680_at"	"249614_at"	"260355_at"	"245842_at"	"264907_at"	"256259_at"	"257051_at"	"247469_at"	"259802_at"	"263092_at"	"264489_at"	"253108_at"	"264752_at"	"251979_at"	"264444_at"	"247447_at"	"249005_at"	"261575_at"	"250636_at"	"264180_at"	"267460_at"	"254175_at"	"245571_at"	"246380_at"	"261514_at"	"257034_at"	"256597_at"	"263546_at"	"257129_at"	"254574_at"	"257504_at"	"250491_at"	"258506_at"	"265261_at"	"253309_at"	"254234_at"	"248111_at"	"247956_at"	"257579_at"	"247869_at"	"245819_at"	"248368_at"	"264016_at"	"256780_at"	"263738_at"
"0.01"	1250	2000	"259089_at"	"248496_at"	"255644_at"	"265441_at"	"261375_at"	"267528_at"	"249939_at"	"255609_s_at"	"255448_at"	"249614_at"	"248227_at"	"262680_at"	"260355_at"	"245842_at"	"264907_at"	"256259_at"	"257051_at"	"247469_at"	"259802_at"	"264489_at"	"263092_at"	"264752_at"	"264444_at"	"247447_at"	"253108_at"	"251979_at"	"249005_at"	"264180_at"	"250636_at"	"261575_at"	"267460_at"	"245571_at"	"246380_at"	"254175_at"	"257034_at"	"261514_at"	"256597_at"	"263546_at"	"254574_at"	"257504_at"	"257129_at"	"250491_at"	"254234_at"	"258506_at"	"253309_at"	"248111_at"	"265261_at"	"256780_at"	"257579_at"	"247869_at"	"247956_at"	"264016_at"	"245819_at"	"248368_at"	"246250_at"
"0.01"	1500	20	"259089_at"	"265441_at"	"248496_at"	"255644_at"	"261375_at"	"249939_at"	"267528_at"	"262680_at"	"249614_at"	"255609_s_at"	"260355_at"	"255448_at"	"256259_at"	"248227_at"	"247469_at"	"245842_at"	"264907_at"	"253108_at"	"259802_at"	"257129_at"	"264752_at"	"251979_at"	"250636_at"	"264180_at"	"261575_at"	"257051_at"	"257034_at"	"249005_at"	"264489_at"	"265261_at"	"257504_at"	"261514_at"	"254234_at"	"246380_at"	"263092_at"	"263546_at"	"247447_at"	"254391_at"	"264444_at"	"256116_at"	"265007_s_at"	"256597_at"	"248368_at"	"247869_at"	"254574_at"	"267460_at"	"263738_at"	"257579_at"	"253309_at"	"258506_at"	"253712_at"	"247956_at"	"267144_at"	"260097_at"	"245571_at"
"0.01"	1500	50	"259089_at"	"248496_at"	"255644_at"	"265441_at"	"261375_at"	"255609_s_at"	"249939_at"	"262680_at"	"255448_at"	"267528_at"	"248227_at"	"260355_at"	"249614_at"	"245842_at"	"264907_at"	"256259_at"	"253108_at"	"257051_at"	"264489_at"	"263092_at"	"261575_at"	"259802_at"	"250636_at"	"247469_at"	"247447_at"	"264752_at"	"264444_at"	"251979_at"	"249005_at"	"254574_at"	"245571_at"	"267460_at"	"253309_at"	"263546_at"	"254175_at"	"257504_at"	"264180_at"	"257129_at"	"256597_at"	"267144_at"	"246380_at"	"265261_at"	"257034_at"	"263738_at"	"248111_at"	"254234_at"	"257579_at"	"256780_at"	"250491_at"	"258506_at"	"250982_at"	"247869_at"	"247956_at"	"261514_at"	"265007_s_at"
"0.01"	1500	100	"259089_at"	"248496_at"	"255644_at"	"265441_at"	"261375_at"	"267528_at"	"262680_at"	"249614_at"	"255609_s_at"	"255448_at"	"249939_at"	"260355_at"	"245842_at"	"248227_at"	"264907_at"	"256259_at"	"247469_at"	"264489_at"	"257051_at"	"264752_at"	"253108_at"	"264444_at"	"259802_at"	"247447_at"	"254175_at"	"257034_at"	"264180_at"	"261514_at"	"261575_at"	"263092_at"	"246380_at"	"265261_at"	"264016_at"	"263546_at"	"256597_at"	"267460_at"	"250636_at"	"253309_at"	"257579_at"	"256780_at"	"258506_at"	"257504_at"	"249005_at"	"245571_at"	"254234_at"	"247869_at"	"251979_at"	"248368_at"	"267144_at"	"261499_at"	"257129_at"	"254574_at"	"245819_at"	"246250_at"	"250491_at"
"0.01"	1500	250	"259089_at"	"248496_at"	"265441_at"	"255644_at"	"261375_at"	"267528_at"	"255609_s_at"	"249939_at"	"248227_at"	"249614_at"	"262680_at"	"255448_at"	"260355_at"	"245842_at"	"264907_at"	"257051_at"	"256259_at"	"247469_at"	"253108_at"	"247447_at"	"264489_at"	"264752_at"	"264444_at"	"263092_at"	"259802_at"	"251979_at"	"245571_at"	"261575_at"	"267460_at"	"256597_at"	"264180_at"	"257034_at"	"249005_at"	"257129_at"	"254175_at"	"246380_at"	"258506_at"	"254574_at"	"257504_at"	"250636_at"	"254234_at"	"265261_at"	"261514_at"	"253309_at"	"248368_at"	"245819_at"	"247869_at"	"267144_at"	"257579_at"	"256780_at"	"254391_at"	"247956_at"	"250491_at"	"264041_at"	"248111_at"
"0.01"	1500	500	"259089_at"	"248496_at"	"255644_at"	"265441_at"	"261375_at"	"267528_at"	"255609_s_at"	"249939_at"	"248227_at"	"255448_at"	"260355_at"	"249614_at"	"262680_at"	"245842_at"	"264907_at"	"256259_at"	"247469_at"	"257051_at"	"264489_at"	"253108_at"	"264752_at"	"251979_at"	"247447_at"	"264444_at"	"259802_at"	"263092_at"	"267460_at"	"254175_at"	"264180_at"	"250636_at"	"261575_at"	"245571_at"	"249005_at"	"254574_at"	"253309_at"	"257034_at"	"256597_at"	"258506_at"	"246380_at"	"265261_at"	"263546_at"	"261514_at"	"254234_at"	"257579_at"	"250491_at"	"257504_at"	"247869_at"	"257129_at"	"247956_at"	"245819_at"	"256780_at"	"263738_at"	"267144_at"	"266505_at"	"254391_at"
"0.01"	1500	1000	"259089_at"	"248496_at"	"255644_at"	"265441_at"	"261375_at"	"255609_s_at"	"267528_at"	"255448_at"	"249939_at"	"249614_at"	"260355_at"	"248227_at"	"262680_at"	"245842_at"	"264907_at"	"256259_at"	"257051_at"	"247469_at"	"264489_at"	"264752_at"	"253108_at"	"247447_at"	"259802_at"	"263092_at"	"264444_at"	"251979_at"	"267460_at"	"261575_at"	"249005_at"	"264180_at"	"245571_at"	"256597_at"	"254175_at"	"257034_at"	"246380_at"	"250636_at"	"254574_at"	"253309_at"	"263546_at"	"257129_at"	"261514_at"	"265261_at"	"258506_at"	"257504_at"	"254234_at"	"256780_at"	"247869_at"	"257579_at"	"250491_at"	"245819_at"	"248111_at"	"247956_at"	"267144_at"	"248368_at"	"254391_at"
"0.01"	1500	1500	"259089_at"	"248496_at"	"255644_at"	"261375_at"	"265441_at"	"267528_at"	"255609_s_at"	"255448_at"	"249939_at"	"248227_at"	"249614_at"	"262680_at"	"260355_at"	"245842_at"	"264907_at"	"256259_at"	"257051_at"	"247469_at"	"264489_at"	"264752_at"	"259802_at"	"253108_at"	"247447_at"	"264444_at"	"251979_at"	"263092_at"	"261575_at"	"267460_at"	"264180_at"	"250636_at"	"254175_at"	"245571_at"	"257034_at"	"254574_at"	"256597_at"	"246380_at"	"249005_at"	"261514_at"	"263546_at"	"253309_at"	"257504_at"	"258506_at"	"254234_at"	"257129_at"	"265261_at"	"250491_at"	"247869_at"	"256780_at"	"257579_at"	"245819_at"	"247956_at"	"248111_at"	"264016_at"	"254391_at"	"248368_at"
"0.01"	1500	2000	"259089_at"	"248496_at"	"255644_at"	"265441_at"	"261375_at"	"267528_at"	"255609_s_at"	"249939_at"	"255448_at"	"248227_at"	"262680_at"	"249614_at"	"260355_at"	"245842_at"	"264907_at"	"256259_at"	"257051_at"	"247469_at"	"264489_at"	"264752_at"	"253108_at"	"259802_at"	"247447_at"	"264444_at"	"251979_at"	"263092_at"	"264180_at"	"261575_at"	"267460_at"	"254175_at"	"250636_at"	"257034_at"	"249005_at"	"245571_at"	"254574_at"	"257504_at"	"256597_at"	"246380_at"	"261514_at"	"263546_at"	"258506_at"	"265261_at"	"254234_at"	"253309_at"	"250491_at"	"257129_at"	"247869_at"	"245819_at"	"256780_at"	"257579_at"	"247956_at"	"248111_at"	"267144_at"	"254391_at"	"264016_at"
